"filename", "language", "TypeScript", "YAML", "TypeScript JSX", "JavaScript", "JSON with Comments", "JSON", "Markdown", "PostCSS", "XML", "MS SQL", "comment", "blank", "total"
"/Users/nssanjeev/Development/Halo/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 2, 5
"/Users/nssanjeev/Development/Halo/apps/dashboard/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 14, 37
"/Users/nssanjeev/Development/Halo/apps/dashboard/components.json", "JSON", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 1, 26
"/Users/nssanjeev/Development/Halo/apps/dashboard/eslint.config.mjs", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 2, 3, 19
"/Users/nssanjeev/Development/Halo/apps/dashboard/layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/nssanjeev/Development/Halo/apps/dashboard/next.config.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 8
"/Users/nssanjeev/Development/Halo/apps/dashboard/package.json", "JSON", 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 51
"/Users/nssanjeev/Development/Halo/apps/dashboard/postcss.config.mjs", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/nssanjeev/Development/Halo/apps/dashboard/public/file.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/nssanjeev/Development/Halo/apps/dashboard/public/globe.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/nssanjeev/Development/Halo/apps/dashboard/public/next.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/nssanjeev/Development/Halo/apps/dashboard/public/vercel.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/nssanjeev/Development/Halo/apps/dashboard/public/window.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/actions/alert.ts", "TypeScript", 327, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 53, 393
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/actions/api-key.ts", "TypeScript", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 95
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/actions/event.ts", "TypeScript", 314, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 84, 452
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/actions/explore.ts", "TypeScript", 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 133
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/actions/issue.ts", "TypeScript", 609, 0, 0, 0, 0, 0, 0, 0, 0, 0, 188, 96, 893
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/actions/monitor.ts", "TypeScript", 743, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 71, 825
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/actions/overview.ts", "TypeScript", 376, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 46, 436
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/actions/project-github.ts", "TypeScript", 280, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 51, 356
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/actions/project-metrics.ts", "TypeScript", 258, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 49, 333
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/actions/project.ts", "TypeScript", 157, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 195
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/actions/release.ts", "TypeScript", 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 106
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/actions/replay.ts", "TypeScript", 310, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 37, 362
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/actions/search.ts", "TypeScript", 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 16, 117
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/actions/services.ts", "TypeScript", 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 117
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/actions/settings.ts", "TypeScript", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 90
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(auth)/layout.tsx", "TypeScript JSX", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(auth)/sign-in/page.tsx", "TypeScript JSX", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(auth)/sign-up/page.tsx", "TypeScript JSX", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/dashboards/layout.tsx", "TypeScript JSX", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/dashboards/page.tsx", "TypeScript JSX", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 6, 46
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/dashboards/services/page.tsx", "TypeScript JSX", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 5, 47
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/dashboards/slo/page.tsx", "TypeScript JSX", 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 5, 12, 111
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/dashboards/system/page.tsx", "TypeScript JSX", 0, 0, 130, 0, 0, 0, 0, 0, 0, 0, 3, 13, 146
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/error.tsx", "TypeScript JSX", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 4, 42
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/explore/database/page.tsx", "TypeScript JSX", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/explore/errors/page.tsx", "TypeScript JSX", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 5, 53
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/explore/infrastructure/page.tsx", "TypeScript JSX", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/explore/layout.tsx", "TypeScript JSX", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/explore/logs/page.tsx", "TypeScript JSX", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 5, 53
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/explore/metrics/page.tsx", "TypeScript JSX", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 6, 36
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/explore/page.tsx", "TypeScript JSX", 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 2, 10, 89
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/explore/requests/page.tsx", "TypeScript JSX", 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 5, 51
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/explore/traces/page.tsx", "TypeScript JSX", 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 5, 51
