"filename", "language", "TypeScript", "JSON with Comments", "JSON", "TypeScript JSX", "YAML", "comment", "blank", "total"
"/Users/nssanjeev/Development/Halo/apps/dashboard/package.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/projects/[id]/investigations/new/page.tsx", "TypeScript JSX", 0, 0, 0, 833, 0, 45, 121, 999
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/projects/[id]/issues/[issueId]/page.tsx", "TypeScript JSX", 0, 0, 0, 20, 0, 0, 3, 23
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/investigation/evidence.ts", "TypeScript", 92, 0, 0, 0, 0, 0, 22, 114
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/investigation/run.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 6, 29
"/Users/nssanjeev/Development/Halo/apps/dashboard/tsconfig.json", "JSON with Comments", 0, -1, 0, 0, 0, 0, 0, -1
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/engine.ts", "TypeScript", 69, 0, 0, 0, 0, 0, 16, 85
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/pipeline/aggregate.ts", "TypeScript", -58, 0, 0, 0, 0, 0, -29, -87
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/pipeline/build-context.ts", "TypeScript", 90, 0, 0, 0, 0, 0, 19, 109
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/pipeline/change-detector.ts", "TypeScript", -32, 0, 0, 0, 0, 0, -8, -40
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/pipeline/changes.ts", "TypeScript", 27, 0, 0, 0, 0, 0, -10, 17
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/pipeline/correlate.ts", "TypeScript", 131, 0, 0, 0, 0, 31, -1, 161
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/pipeline/evaluate.ts", "TypeScript", 325, 0, 0, 0, 0, 9, 64, 398
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/pipeline/hypotheses.ts", "TypeScript", 539, 0, 0, 0, 0, 29, 113, 681
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/pipeline/impact.ts", "TypeScript", 72, 0, 0, 0, 0, 0, 10, 82
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/pipeline/normalize.ts", "TypeScript", 41, 0, 0, 0, 0, 0, 1, 42
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/pipeline/rank.ts", "TypeScript", 114, 0, 0, 0, 0, 0, 19, 133
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/pipeline/recommend.ts", "TypeScript", 174, 0, 0, 0, 0, 0, 29, 203
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/pipeline/report.ts", "TypeScript", 99, 0, 0, 0, 0, 0, 14, 113
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/pipeline/root-cause.ts", "TypeScript", 46, 0, 0, 0, 0, 0, 10, 56
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/pipeline/timeline.ts", "TypeScript", 16, 0, 0, 0, 0, 0, -4, 12
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/pipeline/validate.ts", "TypeScript", 209, 0, 0, 0, 0, 25, 26, 260
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/rules/commit-attribution.ts", "TypeScript", 68, 0, 0, 0, 0, 0, 21, 89
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/rules/cross-service.ts", "TypeScript", 51, 0, 0, 0, 0, 0, 16, 67
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/rules/deployment-before-error.ts", "TypeScript", 6, 0, 0, 0, 0, 0, -13, -7
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/rules/different-service.ts", "TypeScript", 6, 0, 0, 0, 0, 0, -4, 2
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/rules/distributed-trace.ts", "TypeScript", 72, 0, 0, 0, 0, 0, 11, 83
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/rules/evidence-signals.ts", "TypeScript", 339, 0, 0, 0, 0, 34, 111, 484
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/rules/index.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 1, 17
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/rules/infrastructure-failure.ts", "TypeScript", 122, 0, 0, 0, 0, 0, 26, 148
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/rules/multiple-errors.ts", "TypeScript", 98, 0, 0, 0, 0, 13, 42, 153
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/rules/pre-existing-error.ts", "TypeScript", 70, 0, 0, 0, 0, 0, 22, 92
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/rules/recovery.ts", "TypeScript", 126, 0, 0, 0, 0, 0, 30, 156
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/rules/same-service.ts", "TypeScript", 8, 0, 0, 0, 0, 0, -2, 6
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/rules/shared-dependency.ts", "TypeScript", 151, 0, 0, 0, 0, 0, 28, 179
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/rules/time-window.ts", "TypeScript", 21, 0, 0, 0, 0, 0, -4, 17
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/types/context.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 21, 48
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/types/evidence-score.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -4, -4
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/types/evidence.ts", "TypeScript", 13, 0, 0, 0, 0, 104, 13, 130
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/types/finding.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 10, 38
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/types/graph.ts", "TypeScript", 7, 0, 0, 0, 0, 0, -5, 2
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/types/hypothesis.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 4, 19
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/types/investigation.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 9, 36
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/types/reason.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 2, 9
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/types/recommendation.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 5, 13
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/test/engine.test.ts", "TypeScript", 3185, 0, 0, 0, 0, 0, 354, 3539
"/Users/nssanjeev/Development/Halo/packages/sdk/src/halo.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 4, 6
"/Users/nssanjeev/Development/Halo/packages/sdk/src/types.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 2, 7
